match_id,skill_label,avg_rank_tier,cluster,region,duration_s,start_time,patch,leaver,status,bytes,seconds,valid_dem,run_id
8912751761,high,75.0,271.0,EUROPE,2087.0,1784973795.0,60.0,ok,ok,51719947,2.8,True,eu_500
8912753841,low,35.0,182.0,STOCKHOLM,2058.0,1784973900.0,60.0,ok,ok,42334019,11.3,True,eu_500
8912751339,high,75.0,271.0,EUROPE,1258.0,1784973761.0,60.0,ok,ok,26618828,16.1,True,eu_500
8912753569,low,35.0,185.0,STOCKHOLM,2279.0,1784973885.0,60.0,ok,ok,48617360,5.6,True,eu_500
8912751321,high,75.0,271.0,EUROPE,1564.0,1784973775.0,60.0,ok,ok,34702456,3.9,True,eu_500
8912753403,low,35.0,184.0,STOCKHOLM,2327.0,1784973880.0,60.0,ok,ok,48866723,3.6,True,eu_500
8912751302,high,75.0,271.0,EUROPE,1969.0,1784973775.0,60.0,ok,ok,43586747,3.8,True,eu_500
8912753322,low,35.0,182.0,STOCKHOLM,2411.0,1784973876.0,60.0,ok,ok,52772011,2.7,True,eu_500
8912751148,high,75.0,183.0,STOCKHOLM,2564.0,1784973766.0,60.0,ok,ok,56885657,6.2,True,eu_500
8912753320,low,35.0,183.0,STOCKHOLM,2289.0,1784973875.0,60.0,ok,ok,50501357,4.9,True,eu_500
8912751098,high,75.0,187.0,STOCKHOLM,2095.0,1784973760.0,60.0,ok,ok,51498736,5.2,True,eu_500
8912753128,low,35.0,182.0,STOCKHOLM,2419.0,1784973865.0,60.0,ok,ok,52394843,9.4,True,eu_500
8912752925,low,35.0,274.0,EUROPE,3453.0,1784973855.0,60.0,ok,ok,74653418,17.1,True,eu_500
8912752812,low,35.0,184.0,STOCKHOLM,1794.0,1784973850.0,60.0,ok,ok,38717386,8.4,True,eu_500
8912752686,low,35.0,183.0,STOCKHOLM,2761.0,1784973845.0,60.0,ok,ok,64807016,4.6,True,eu_500
8912752622,low,35.0,274.0,EUROPE,2393.0,1784973840.0,60.0,ok,ok,52021681,27.2,True,eu_500
8912751922,low,35.0,183.0,STOCKHOLM,2568.0,1784973805.0,60.0,ok,ok,54188643,4.6,True,eu_500
8912751694,low,35.0,185.0,STOCKHOLM,1928.0,1784973795.0,60.0,ok,ok,45472655,3.0,True,eu_500
8912751558,low,35.0,187.0,STOCKHOLM,1848.0,1784973785.0,60.0,ok,ok,40495070,7.6,True,eu_500
8912751319,low,35.0,186.0,STOCKHOLM,1842.0,1784973775.0,60.0,ok,ok,39498458,2.8,True,eu_500
8912751052,low,35.0,181.0,STOCKHOLM,1638.0,1784973760.0,60.0,ok,ok,33082336,2.9,True,eu_500
8912753947,low,41.0,185.0,STOCKHOLM,1568.0,1784973900.0,60.0,ok,ok,33462131,16.3,True,eu_500
8912753866,low,41.0,182.0,STOCKHOLM,1731.0,1784973905.0,60.0,ok,ok,35739106,12.8,True,eu_500
8912753744,low,41.0,273.0,EUROPE,2848.0,1784973895.0,60.0,ok,ok,68224501,22.3,True,eu_500
8912753629,low,41.0,181.0,STOCKHOLM,2064.0,1784973890.0,60.0,ok,ok,46159161,8.6,True,eu_500
8912753613,low,41.0,185.0,STOCKHOLM,1915.0,1784973890.0,60.0,ok,ok,42744772,13.8,True,eu_500
8912753441,low,41.0,182.0,STOCKHOLM,3005.0,1784973870.0,60.0,ok,ok,63600692,5.2,True,eu_500
8912753402,low,41.0,185.0,STOCKHOLM,2484.0,1784973880.0,60.0,ok,ok,52162177,3.8,True,eu_500
8912753216,low,41.0,184.0,STOCKHOLM,2887.0,1784973865.0,60.0,ok,ok,71660570,7.2,True,eu_500
8912753208,low,41.0,182.0,STOCKHOLM,2516.0,1784973845.0,60.0,ok,ok,54392570,22.7,True,eu_500
8912753140,low,41.0,181.0,STOCKHOLM,3271.0,1784973861.0,60.0,ok,ok,74221726,6.6,True,eu_500
8912753087,low,41.0,185.0,STOCKHOLM,3049.0,1784973865.0,60.0,ok,ok,67631088,5.3,True,eu_500
8912752949,low,41.0,274.0,EUROPE,2349.0,1784973855.0,60.0,ok,ok,55046698,4.5,True,eu_500
8912752372,low,41.0,184.0,STOCKHOLM,2187.0,1784973826.0,60.0,ok,ok,48321862,3.2,True,eu_500
8912752303,low,41.0,182.0,STOCKHOLM,1805.0,1784973825.0,60.0,ok,ok,37369421,2.4,True,eu_500
8912752121,low,41.0,273.0,EUROPE,2011.0,1784973810.0,60.0,ok,ok,40937968,23.5,True,eu_500
8912751998,low,41.0,183.0,STOCKHOLM,3058.0,1784973810.0,60.0,ok,ok,72414906,28.7,True,eu_500
8912751886,low,41.0,271.0,EUROPE,1380.0,1784973795.0,60.0,ok,ok,29765057,17.7,True,eu_500
8912751878,low,41.0,272.0,EUROPE,2567.0,1784973800.0,60.0,ok,ok,54977070,3.6,True,eu_500
8912751468,low,41.0,184.0,STOCKHOLM,3152.0,1784973776.0,60.0,ok,ok,69875351,9.6,True,eu_500
8912751107,low,41.0,185.0,STOCKHOLM,1949.0,1784973765.0,60.0,ok,ok,41318511,3.9,True,eu_500
8912751069,low,41.0,182.0,STOCKHOLM,2174.0,1784973760.0,60.0,ok,ok,53161830,5.7,True,eu_500
8912754291,low,42.0,273.0,EUROPE,2958.0,1784973905.0,60.0,ok,ok,64209325,5.1,True,eu_500
8912754219,low,42.0,272.0,EUROPE,2657.0,1784973920.0,60.0,ok,ok,61976232,16.7,True,eu_500
8912753745,low,42.0,182.0,STOCKHOLM,2027.0,1784973896.0,60.0,ok,ok,42062042,4.4,True,eu_500
8912753495,low,42.0,187.0,STOCKHOLM,2368.0,1784973880.0,60.0,ok,ok,49156136,14.3,True,eu_500
8912753446,low,42.0,185.0,STOCKHOLM,2399.0,1784973880.0,60.0,ok,ok,50483901,4.4,True,eu_500
8912753388,low,42.0,181.0,STOCKHOLM,2479.0,1784973880.0,60.0,ok,ok,53459447,4.8,True,eu_500
8912753232,low,42.0,193.0,AUSTRIA,2391.0,1784973871.0,60.0,ok,ok,49152187,13.4,True,eu_500
8912753196,low,42.0,181.0,STOCKHOLM,2658.0,1784973871.0,60.0,ok,ok,56629833,4.1,True,eu_500
8912752846,low,42.0,185.0,STOCKHOLM,2602.0,1784973851.0,60.0,ok,ok,58479748,33.0,True,eu_500
8912752840,low,42.0,274.0,EUROPE,2299.0,1784973850.0,60.0,ok,ok,48179846,11.1,True,eu_500
8912751910,low,42.0,187.0,STOCKHOLM,2886.0,1784973795.0,60.0,ok,ok,65474466,5.1,True,eu_500
8912751819,low,42.0,273.0,EUROPE,2154.0,1784973785.0,60.0,ok,ok,49342108,2.4,True,eu_500
8912751618,low,42.0,187.0,STOCKHOLM,3073.0,1784973790.0,60.0,ok,ok,75353417,6.2,True,eu_500
8912751312,low,42.0,182.0,STOCKHOLM,1721.0,1784973740.0,60.0,ok,ok,36499250,2.4,True,eu_500
8912754341,low,43.0,191.0,AUSTRIA,1887.0,1784973925.0,60.0,ok,ok,37953731,1.9,True,eu_500
8912754196,low,43.0,183.0,STOCKHOLM,3149.0,1784973920.0,60.0,ok,ok,69764775,36.7,True,eu_500
8912754124,low,43.0,272.0,EUROPE,2313.0,1784973891.0,60.0,ok,ok,51675420,3.7,True,eu_500
8912754101,low,43.0,184.0,STOCKHOLM,1858.0,1784973895.0,60.0,ok,ok,37433872,3.0,True,eu_500
8912753981,low,43.0,185.0,STOCKHOLM,2034.0,1784973910.0,60.0,ok,ok,46993874,6.3,True,eu_500
8912753933,low,43.0,191.0,AUSTRIA,1691.0,1784973901.0,60.0,ok,ok,34510827,3.8,True,eu_500
8912753915,low,43.0,182.0,STOCKHOLM,1864.0,1784973901.0,60.0,ok,ok,41252005,13.2,True,eu_500
8912753618,low,43.0,184.0,STOCKHOLM,3320.0,1784973891.0,60.0,ok,ok,75350613,15.3,True,eu_500
8912753539,low,43.0,183.0,STOCKHOLM,2417.0,1784973880.0,60.0,ok,ok,52482804,3.5,True,eu_500
8912753443,low,43.0,181.0,STOCKHOLM,3596.0,1784973876.0,60.0,ok,ok,79968018,6.9,True,eu_500
8912753429,low,43.0,182.0,STOCKHOLM,1399.0,1784973881.0,60.0,ok,ok,29531189,2.0,True,eu_500
8912753324,low,43.0,182.0,STOCKHOLM,3172.0,1784973876.0,60.0,ok,ok,72023106,4.8,True,eu_500
8912753163,low,43.0,274.0,EUROPE,3108.0,1784973870.0,60.0,ok,ok,68937100,5.2,True,eu_500
8912753094,low,43.0,183.0,STOCKHOLM,2371.0,1784973856.0,60.0,ok,ok,51433561,4.4,True,eu_500
8912753002,low,43.0,182.0,STOCKHOLM,2201.0,1784973846.0,60.0,ok,ok,47887700,12.4,True,eu_500
8912752763,low,43.0,192.0,AUSTRIA,1940.0,1784973831.0,60.0,ok,ok,40974212,3.9,True,eu_500
8912752758,low,43.0,185.0,STOCKHOLM,1917.0,1784973845.0,60.0,ok,ok,44144370,34.0,True,eu_500
8912752756,low,43.0,183.0,STOCKHOLM,1904.0,1784973846.0,60.0,ok,ok,38224266,5.6,True,eu_500
8912752672,low,43.0,274.0,EUROPE,1909.0,1784973840.0,60.0,ok,ok,41765967,4.0,True,eu_500
8912752118,low,43.0,185.0,STOCKHOLM,2040.0,1784973810.0,60.0,ok,ok,41455547,27.5,True,eu_500
8912752069,low,43.0,181.0,STOCKHOLM,2044.0,1784973811.0,60.0,ok,ok,43386123,2.1,True,eu_500
8912752037,low,43.0,272.0,EUROPE,2111.0,1784973810.0,60.0,ok,ok,42801154,3.5,True,eu_500
8912751990,low,43.0,274.0,EUROPE,2360.0,1784973795.0,60.0,ok,ok,48845308,6.8,True,eu_500
8912751903,low,43.0,182.0,STOCKHOLM,3139.0,1784973805.0,60.0,ok,ok,68598968,3.3,True,eu_500
8912751673,low,43.0,274.0,EUROPE,1946.0,1784973790.0,60.0,ok,ok,39387466,3.9,True,eu_500
8912751583,low,43.0,271.0,EUROPE,904.0,1784973785.0,60.0,ok,ok,15484650,1.8,True,eu_500
