match_id,player_slot,account_id,hero_id,leaver_status,rank_tier,is_anonymous,run_id
8912751052,0,1080684182,50,1,31.0,False,eu_500
8912751052,1,1145197233,101,0,,False,eu_500
8912751052,2,1168044991,4,0,33.0,False,eu_500
8912751052,3,233133893,78,0,43.0,False,eu_500
8912751052,4,1042112214,64,1,33.0,False,eu_500
8912751052,128,1477127769,90,0,33.0,False,eu_500
8912751052,129,1445821312,27,0,25.0,False,eu_500
8912751052,130,1848948874,23,0,34.0,False,eu_500
8912751052,131,766047875,1,0,31.0,False,eu_500
8912751052,132,165217348,32,0,23.0,False,eu_500
8912751053,0,1649317485,128,0,23.0,False,eu_500
8912751053,1,1215887585,30,0,33.0,False,eu_500
8912751053,2,1514944502,36,0,34.0,False,eu_500
8912751053,3,927397560,21,0,25.0,False,eu_500
8912751053,4,311514695,108,0,34.0,False,eu_500
8912751053,128,381119010,56,0,34.0,False,eu_500
8912751053,129,826514737,7,0,24.0,False,eu_500
8912751053,130,873302568,26,0,33.0,False,eu_500
8912751053,131,330178072,53,0,24.0,False,eu_500
8912751053,132,848420698,47,0,33.0,False,eu_500
8912751057,0,1420966369,145,0,43.0,False,eu_500
8912751057,1,1086807112,67,0,35.0,False,eu_500
8912751057,2,124690654,68,0,42.0,False,eu_500
8912751057,3,254507124,7,0,43.0,False,eu_500
8912751057,4,293067894,27,0,43.0,False,eu_500
8912751057,128,1617127094,74,0,43.0,False,eu_500
8912751057,129,316628817,14,0,42.0,False,eu_500
8912751057,130,252546205,69,0,41.0,False,eu_500
8912751057,131,1268618412,123,0,34.0,False,eu_500
8912751057,132,146634231,6,0,34.0,False,eu_500
8912751059,0,94094175,35,0,35.0,False,eu_500
8912751059,1,1274962501,53,0,34.0,False,eu_500
8912751059,2,1238874117,84,0,35.0,False,eu_500
8912751059,3,315844367,123,0,34.0,False,eu_500
8912751059,4,1608778171,14,0,23.0,False,eu_500
8912751059,128,1742290227,99,0,32.0,False,eu_500
8912751059,129,1313863193,90,0,35.0,False,eu_500
8912751059,130,1407494386,41,0,,False,eu_500
8912751059,131,1517305582,27,0,,False,eu_500
8912751059,132,57369231,33,0,32.0,False,eu_500
8912751065,0,1483195132,99,0,15.0,False,eu_500
8912751065,1,1878560560,14,0,15.0,False,eu_500
8912751065,2,1605282054,109,0,23.0,False,eu_500
8912751065,3,805485159,25,0,13.0,False,eu_500
8912751065,4,72880120,51,0,14.0,False,eu_500
8912751065,128,1265948068,11,0,24.0,False,eu_500
8912751065,129,1702036054,128,0,21.0,False,eu_500
8912751065,130,163629574,94,0,13.0,False,eu_500
8912751065,131,1057469195,63,0,13.0,False,eu_500
8912751065,132,1809423396,137,0,15.0,False,eu_500
8912751069,0,98079421,123,0,31.0,False,eu_500
8912751069,1,1036759968,128,0,45.0,False,eu_500
8912751069,2,1477734314,20,0,34.0,False,eu_500
8912751069,3,1239510939,67,0,34.0,False,eu_500
8912751069,4,118154011,55,0,35.0,False,eu_500
8912751069,128,141163270,121,0,42.0,False,eu_500
8912751069,129,314018555,137,0,41.0,False,eu_500
8912751069,130,1507005201,12,0,25.0,False,eu_500
8912751069,131,297017580,74,0,44.0,False,eu_500
8912751069,132,1468245750,112,0,35.0,False,eu_500
8912751071,0,99684106,121,0,54.0,False,eu_500
8912751071,1,56440598,26,0,55.0,False,eu_500
8912751071,2,1169593481,14,0,55.0,False,eu_500
8912751071,3,8277338,67,0,55.0,False,eu_500
8912751071,4,914671707,135,0,55.0,False,eu_500
8912751071,128,998797093,29,0,54.0,False,eu_500
8912751071,129,126688405,128,0,65.0,False,eu_500
8912751071,130,1656922206,36,0,54.0,False,eu_500
8912751071,131,1201482363,1,0,55.0,False,eu_500
8912751071,132,64648703,30,0,44.0,False,eu_500
8912751079,0,411527760,74,0,51.0,False,eu_500
8912751079,1,478450701,131,0,31.0,False,eu_500
8912751079,2,194828082,100,0,62.0,False,eu_500
8912751079,3,892079953,104,0,34.0,False,eu_500
8912751079,4,320212959,67,0,42.0,False,eu_500
8912751079,128,439012410,28,0,51.0,False,eu_500
8912751079,129,903362185,14,0,24.0,False,eu_500
8912751079,130,1003255686,109,0,34.0,False,eu_500
8912751079,131,1069676763,123,0,53.0,False,eu_500
8912751079,132,1454190676,121,0,21.0,False,eu_500
8912751086,0,160444005,27,0,,False,eu_500
8912751086,1,163668667,104,0,33.0,False,eu_500
8912751086,2,93172079,28,0,34.0,False,eu_500
8912751086,3,1148449542,87,0,35.0,False,eu_500
8912751086,4,477671962,128,0,33.0,False,eu_500
8912751086,128,804148998,34,0,21.0,False,eu_500
8912751086,129,1344561026,120,0,22.0,False,eu_500
8912751086,130,144020951,26,0,34.0,False,eu_500
8912751086,131,455271513,54,0,35.0,False,eu_500
8912751086,132,1048403297,137,0,35.0,False,eu_500
8912751098,0,1008539703,12,0,80.0,False,eu_500
