player_slot,n_samples,total_dist,mean_speed,median_speed,idle_share,mean_depth,median_depth,max_depth,depth_std,lateral_std,mean_abs_lateral,first_sec,last_sec,duration,path_efficiency,share_top_laning,share_top_late,share_top_mid,share_mid_laning,share_mid_late,share_mid_mid,share_bottom_laning,share_bottom_late,share_bottom_mid,match_id,account_id,hero_id,rank_tier,leaver_status,skill_label,avg_rank_tier,region,duration_s,run_id
3,790,174784.3839800206,110.76323446135652,78.44350499772338,0.4050632911392405,0.27232830966148425,0.2845322274221093,0.6148156081358441,0.13897286573388165,3667.8411950680875,4154.672654026914,0.0,1610.0,1610.0,108.56172918013701,0.0,0.0,0.09240506329113925,0.07215189873417721,0.07088607594936709,0.1759493670886076,0.30253164556962026,0.0,0.28607594936708863,8912752144,205034344,22,45.0,1,high,53.0,STOCKHOLM,1470.0,eu_500
132,1313,253215.4672969679,96.49979698817374,47.45827994942936,0.507996953541508,0.506538020945125,0.5417165919598951,0.9242162062463889,0.18850596316519164,5625.528361422276,5238.0211372760405,0.0,2696.0,2696.0,93.92265107454298,0.21477532368621477,0.10053313023610053,0.2025894897182026,0.007616146230007616,0.08682406702208682,0.06626047220106626,0.0,0.2536176694592536,0.06778370144706779,8912752644,814200633,67,15.0,0,low,21.0,STOCKHOLM,2512.0,eu_500
131,1378,364655.86866538983,132.40953836797016,81.50989338113226,0.4027576197387518,0.5222622623877472,0.4676728045008648,0.9723015883715739,0.20655686229014492,4432.891278361843,3742.5531704589876,0.0,2786.0,2786.0,130.88868222016865,0.0,0.19811320754716982,0.12844702467343977,0.0420899854862119,0.15457184325108853,0.08490566037735849,0.16981132075471697,0.10885341074020319,0.11320754716981132,8912751693,308688913,97,65.0,0,high,63.0,STOCKHOLM,2598.0,eu_500
129,1900,492159.8232239818,129.583945030011,69.22034799692517,0.43473684210526314,0.49577933951058917,0.5177850269246329,0.8675091773909819,0.18024021812697696,4819.343873057087,4288.174849277509,0.0,3838.0,3838.0,128.23340886502913,0.15421052631578946,0.1726315789473684,0.16263157894736843,0.0036842105263157894,0.2431578947368421,0.01263157894736842,0.0,0.19157894736842104,0.05947368421052632,8912754109,1053994683,6,71.0,0,high,72.0,STOCKHOLM,3511.0,eu_500
3,1624,308309.57671179954,94.98138530862586,45.294684451356545,0.5184729064039408,0.4014875587202212,0.39825733143296593,0.8718319549417599,0.18019935279435464,4152.019967178924,4028.5759299616684,0.0,3294.0,3294.0,93.59732140613222,0.0,0.12192118226600986,0.010467980295566502,0.007389162561576354,0.22660098522167488,0.07758620689655173,0.17733990147783252,0.1896551724137931,0.18903940886699508,8912903373,1444753787,47,12.0,0,low,21.0,JAPAN,3088.0,holdout_100
129,1084,221618.31771374634,102.31685951696507,57.63912735816254,0.47878228782287824,0.39205211790062383,0.38272622594950234,0.7749182231589212,0.1572093566241648,4407.738845545735,4266.88493070969,0.0,2246.0,2246.0,98.67244777994048,0.26014760147601473,0.11715867158671586,0.16512915129151293,0.005535055350553505,0.22047970479704798,0.09317343173431734,0.0,0.0,0.13837638376383765,8912751761,1710742902,48,80.0,0,high,75.0,EUROPE,2087.0,eu_500
3,1599,399946.92173213465,125.13983783859031,81.02755073477178,0.4065040650406504,0.3768448893425663,0.39702182425143545,0.8670544963021899,0.1879642910672149,3863.5743858474407,2972.0029103679835,0.0,3268.0,3268.0,122.3827789878013,0.0,0.16197623514696685,0.054409005628517824,0.030644152595372107,0.34709193245778613,0.10569105691056911,0.15196998123827393,0.03689806128830519,0.11131957473420888,8912752968,170004110,50,44.0,0,low,44.0,STOCKHOLM,3062.0,eu_500
132,1646,373665.5318841453,113.57614950885875,58.18592682671928,0.47205346294046174,0.4274354075381303,0.39813602000631737,0.9177646560672237,0.18654977384944058,3668.452033924484,3657.422804392382,0.0,3338.0,3338.0,111.94293945001357,0.0,0.16099635479951396,0.0,0.02551640340218712,0.22417982989064397,0.015795868772782502,0.15492102065613608,0.16889428918590524,0.2496962332928311,8912753193,1211251947,42,13.0,0,low,13.0,STOCKHOLM,3181.0,eu_500
1,1299,282642.866243024,108.87629670378429,66.57050024914444,0.4380292532717475,0.45584432377718404,0.4365392871103604,0.8717064456680158,0.17862791170300238,3562.082573400729,3977.3006613925086,0.0,2692.0,2692.0,104.99363530572957,0.0,0.02386451116243264,0.03849114703618168,0.01770592763664357,0.27174749807544263,0.07929176289453425,0.20708237105465743,0.14857582755966128,0.2132409545804465,8912905073,292755799,84,52.0,0,high,55.0,SINGAPORE,2505.0,holdout_100
3,1244,239184.43213951171,96.21256320977945,53.456001776955446,0.4903536977491961,0.28862101879559193,0.3144784092135521,0.6538008377905743,0.1446909743073728,4045.206481676427,3685.2601912716095,0.0,2494.0,2494.0,95.90394231736637,0.0,0.06430868167202572,0.05707395498392283,0.017684887459807074,0.33440514469453375,0.06270096463022508,0.22347266881028938,0.001607717041800643,0.2387459807073955,8912904735,232402354,94,32.0,0,low,23.0,JAPAN,2301.0,holdout_100
0,1284,285641.3846696042,111.31776487513802,41.15005283110159,0.5311526479750779,0.5201346282122257,0.47405538745628983,0.9391020799478971,0.17671733961096583,4929.311057353572,4667.4555857798705,0.0,2606.0,2606.0,109.609126887799,0.0,0.16978193146417445,0.11526479750778816,0.00778816199376947,0.18302180685358255,0.003894080996884735,0.21962616822429906,0.07242990654205607,0.22819314641744548,8912904035,324916763,81,,0,low,32.0,SINGAPORE,2432.0,holdout_100
128,506,107003.99754410169,105.94455202386305,57.619198560635056,0.45652173913043476,0.6727927187284299,0.7395604318170442,0.9337563011051084,0.17900096779363786,4024.097890868786,3902.4175485054475,0.0,1010.0,1010.0,105.94455202386305,0.0,,0.2015810276679842,0.09090909090909091,,0.11067193675889328,0.5019762845849802,,0.09486166007905138,8912751583,1321557309,2,51.0,0,low,43.0,EUROPE,904.0,eu_500
1,1470,401254.87550901494,136.5741577634496,59.87013069064748,0.47551020408163264,0.37969675304042433,0.38598461186018707,0.7530007008609433,0.13949342066146472,5185.663627388375,4486.541757993561,0.0,3010.0,3010.0,133.3072676109684,0.019727891156462583,0.15306122448979592,0.11496598639455782,0.024489795918367346,0.19727891156462585,0.06326530612244897,0.154421768707483,0.15306122448979592,0.11972789115646258,8912752784,1548350681,42,80.0,0,high,75.0,EUROPE,2835.0,eu_500
3,1227,321351.3786710667,131.05684285116914,62.222296603011756,0.46047269763651183,0.5266156113000527,0.48433789868055316,0.9492814001871991,0.20731241279947954,4773.369151785871,4110.3819948487035,0.0,2532.0,2532.0,126.91602633138496,0.0,0.15158924205378974,0.10187449062754686,0.02526487367563162,0.17440912795436023,0.12061939690301549,0.20945395273023634,0.08883455582722087,0.12795436022819887,8912751781,1017024467,43,15.0,0,low,21.0,STOCKHOLM,2341.0,eu_500
3,689,173055.90277021818,125.76737119928647,87.64886315010068,0.3178519593613933,0.5180224043678457,0.4541562995551961,0.9656706431470282,0.20687210179639648,3298.987145162934,4629.019260162838,0.0,1376.0,1376.0,125.76737119928647,0.0,,0.027576197387518143,0.036284470246734396,,0.24383164005805516,0.3991291727140784,,0.2931785195936139,8912751339,144335120,23,80.0,0,high,75.0,EUROPE,1258.0,eu_500
130,1049,210712.128856565,100.53059582851382,48.23172741025493,0.5052430886558628,0.4022444700846264,0.4262299165417559,0.7303672873520659,0.15652595404094977,4274.388180973525,4758.230465858678,0.0,2176.0,2176.0,96.83461804070082,0.0,0.10581506196377502,0.0009532888465204957,0.04861773117254528,0.11058150619637751,0.08674928503336511,0.22974261201143947,0.09532888465204957,0.32221163012392756,8912751290,146124063,81,15.0,0,low,15.0,STOCKHOLM,2021.0,eu_500
132,1110,324445.06231097766,146.27820663254178,84.17879700322916,0.3855855855855856,0.5849903407895384,0.5691452894880623,1.0055565888895126,0.1973653361815241,2634.4619694232792,1680.6996496486672,0.0,2258.0,2258.0,143.6869186496801,0.0,0.05765765765765766,0.05855855855855856,0.26306306306306304,0.1981981981981982,0.27387387387387385,0.0,0.08288288288288288,0.06576576576576576,8912754161,1901616408,105,14.0,0,low,14.0,STOCKHOLM,2101.0,eu_500
131,870,235913.93541839137,135.7387430485566,103.7478900861003,0.35402298850574715,0.5967835051646788,0.592891191933279,0.9584994352321606,0.186006810474203,4725.887329580932,3837.9122512784716,0.0,1762.0,1762.0,133.8898611909145,0.30344827586206896,0.02413793103448276,0.05747126436781609,0.041379310344827586,0.12298850574712644,0.2264367816091954,0.0,0.0,0.22413793103448276,8912752623,1288031710,83,74.0,1,high,74.0,STOCKHOLM,1624.0,eu_500
3,1327,421951.4354588439,159.10687611570282,69.13925611189927,0.44988696307460435,0.31224679043163117,0.31096333961458295,0.6951025625840976,0.16984260828975917,4364.006515923737,3339.642242098223,0.0,2748.0,2748.0,153.54855729943372,0.14016578749058026,0.05199698568198945,0.09419743782969103,0.04220045214770158,0.36096458176337604,0.06857573474001508,0.031650339110776186,0.045968349660889224,0.16428033157498115,8912903007,43018017,71,22.0,0,low,24.0,SINGAPORE,2551.0,holdout_100
129,892,183091.3397995066,102.74485959568271,47.76246146982679,0.5112107623318386,0.3801578714267015,0.41694808165844827,0.6590597539053262,0.196065217394075,4146.4509394829465,4460.2974668155475,0.0,1814.0,1814.0,100.93238136687243,0.2701793721973094,0.0,0.3183856502242152,0.05941704035874439,0.1289237668161435,0.1109865470852018,0.006726457399103139,0.043721973094170405,0.061659192825112105,8912753921,346411432,67,21.0,0,low,15.0,AUSTRIA,1667.0,eu_500
0,1800,381033.77793775155,105.90155028842456,35.08726002277695,0.5427777777777778,0.2939064079213881,0.30154537203726517,0.8008309887010132,0.15672899677736052,3658.6021805071687,2789.1931723347784,0.0,3694.0,3694.0,103.1493713962511,0.0,0.1322222222222222,0.050555555555555555,0.03166666666666667,0.39,0.06444444444444444,0.135,0.07666666666666666,0.11944444444444445,8912751230,1107963067,2,41.0,0,high,54.0,EUROPE,3514.0,eu_500
1,1573,423095.5331230534,134.5723705862129,72.01677449146237,0.438652256834075,0.41617682451366383,0.4282050047911125,0.8389879143642495,0.15025039069575036,4260.8743742561755,4066.3793522920164,0.0,3168.0,3168.0,133.55288293025674,0.18181818181818182,0.21106166560712014,0.1722822631913541,0.006357279084551812,0.23204068658614113,0.04767959313413859,0.0,0.08518753973299428,0.06357279084551812,8912903740,1259853931,18,62.0,0,high,61.0,SINGAPORE,2968.0,holdout_100
1,1857,429058.660301335,115.58692357255792,84.94270342756829,0.40118470651588584,0.47135215276272185,0.4944763101598652,0.8517753386768999,0.1745722418499112,4045.5698959696047,3372.5675911086114,0.0,3784.0,3784.0,113.3875952170547,0.13139472267097468,0.14431879375336565,0.13570274636510501,0.027463651050080775,0.3306408185245019,0.07431340872374798,0.0005385029617662897,0.12977921378567583,0.025848142164781908,8912753443,1242001076,84,42.0,0,low,43.0,STOCKHOLM,3596.0,eu_500
0,1278,311218.88384169637,121.85547527082865,41.098680285983704,0.5203442879499217,0.3764797149163747,0.4149404128375873,0.8088080265822108,0.19389871744121556,4295.391082415997,4074.6239621694226,0.0,2658.0,2658.0,117.08761619326425,0.0,0.08763693270735524,0.07120500782472614,0.01564945226917058,0.18935837245696402,0.09389671361502347,0.2104851330203443,0.15805946791862285,0.17370892018779344,8912753398,150368,2,21.0,0,low,23.0,STOCKHOLM,2475.0,eu_500
128,979,196069.59566704766,100.2400795843802,60.73259753431756,0.45556690500510727,0.5897301447226739,0.564486245374846,1.026176308054134,0.1921746517441319,4358.669235180946,4905.609014616438,0.0,1996.0,1996.0,98.23126035423229,0.2604698672114402,0.07865168539325842,0.3105209397344229,0.045965270684371805,0.1675178753830439,0.015321756894790603,0.0,0.0,0.12155260469867211,8912751450,417078813,15,61.0,0,high,63.0,STOCKHOLM,1866.0,eu_500
1,910,207367.08367600906,114.06330235204018,55.518994533005014,0.4736263736263736,0.5621852832900883,0.5053476105827801,0.9722845373322981,0.1736660046715872,2624.777132551204,1645.0932281582648,0.0,1858.0,1858.0,111.60768766200702,0.04945054945054945,0.012087912087912088,0.12637362637362637,0.26703296703296703,0.14285714285714285,0.2824175824175824,0.013186813186813187,0.038461538461538464,0.06813186813186813,8912753809,427479241,14,54.0,0,high,54.0,STOCKHOLM,1711.0,eu_500
130,1699,409583.78009485523,120.60770909742499,65.73314864541744,0.44496762801648027,0.4525699670163176,0.47164282358681187,0.9633962855257191,0.22423125475524625,3256.525725123726,2338.9304249311854,0.0,3436.0,3436.0,119.20366126159931,0.011183048852266038,0.09476162448499117,0.06180105944673337,0.16539140670982933,0.26015303119482047,0.10947616244849911,0.0,0.20600353148911124,0.09123013537374926,8912754477,873996285,39,33.0,0,low,33.0,STOCKHOLM,3225.0,eu_500
4,1880,474759.31689390563,126.33297416016649,75.8949261525444,0.4218085106382979,0.491434138139692,0.5104425090128255,0.9046091534854457,0.16832756996117365,4954.886202897407,4083.698075881216,0.0,3846.0,3846.0,123.44236008681894,0.1478723404255319,0.16702127659574467,0.07393617021276595,0.003723404255319149,0.251063829787234,0.06968085106382979,0.007978723404255319,0.19787234042553192,0.08085106382978724,8912751057,293067894,27,43.0,0,low,43.0,STOCKHOLM,3651.0,eu_500
131,1189,328580.59643440746,138.29149681582805,82.92738783415037,0.3986543313708999,0.6177185547654499,0.6173304987084665,0.9285249907491533,0.17534322485798717,3115.807221224994,2270.5272386664683,0.0,2440.0,2440.0,134.66417886656043,0.0,0.12026913372582002,0.1883936080740118,0.24894869638351555,0.20353238015138772,0.1345668629100084,0.0,0.06223717409587889,0.04205214465937763,8912752372,85001117,120,41.0,0,low,41.0,STOCKHOLM,2187.0,eu_500
3,1069,287138.7481787846,134.42825289268941,75.18026341514411,0.39756782039289057,0.5362716378944749,0.4865631865874698,0.9567021616409819,0.1774660581057668,3520.057222709469,2424.714492016875,0.0,2144.0,2144.0,133.9266549341346,0.01403180542563143,0.10102899906454631,0.07296538821328344,0.2666043030869972,0.15247895229186156,0.14593077642656688,0.0,0.04864359214218896,0.19831618334892423,8912751694,1121434371,36,35.0,0,low,35.0,STOCKHOLM,1928.0,eu_500
