match_id,player_slot,account_id,hero_id,leaver_status,rank_tier,is_anonymous,run_id
8912751230,0,1107963067,2,0,41.0,False,eu_500
8912751230,1,334422478,112,0,62.0,False,eu_500
8912751230,2,1674050505,74,0,71.0,False,eu_500
8912751230,3,917922761,11,0,42.0,False,eu_500
8912751230,4,454306186,86,0,62.0,False,eu_500
8912751230,128,473877524,108,0,65.0,False,eu_500
8912751230,129,1109632862,46,0,54.0,False,eu_500
8912751230,130,1389897305,27,0,34.0,False,eu_500
8912751230,131,1062653173,76,0,44.0,False,eu_500
8912751230,132,1123291979,121,0,65.0,False,eu_500
8912751358,0,93195155,45,0,53.0,False,eu_500
8912751358,1,299437271,84,1,62.0,False,eu_500
8912751358,2,117574956,85,0,61.0,False,eu_500
8912751358,3,334893710,6,0,65.0,False,eu_500
8912751358,4,1247899180,64,0,55.0,False,eu_500
8912751358,128,123936198,102,0,63.0,False,eu_500
8912751358,129,1690304493,19,0,65.0,False,eu_500
8912751358,130,161546673,100,0,54.0,False,eu_500
8912751358,131,1573346638,128,0,54.0,False,eu_500
8912751358,132,1097346959,74,0,61.0,False,eu_500
8912752249,0,68111930,14,0,33.0,False,eu_500
8912752249,1,1637358619,6,0,32.0,False,eu_500
8912752249,2,1405800519,98,0,25.0,False,eu_500
8912752249,3,1572075160,75,0,31.0,False,eu_500
8912752249,4,1109205133,83,0,34.0,False,eu_500
8912752249,128,928910029,128,0,34.0,False,eu_500
8912752249,129,1025566088,101,0,,False,eu_500
8912752249,130,1591642532,2,0,31.0,False,eu_500
8912752249,131,145733069,21,0,32.0,False,eu_500
8912752249,132,155119106,35,0,35.0,False,eu_500
8912752925,0,8174285,26,0,34.0,False,eu_500
8912752925,1,844261973,28,0,34.0,False,eu_500
8912752925,2,1177606222,128,0,34.0,False,eu_500
8912752925,3,1423498030,70,0,34.0,False,eu_500
8912752925,4,1789913727,63,0,31.0,False,eu_500
8912752925,128,311225244,25,0,31.0,False,eu_500
8912752925,129,1036479940,4,0,33.0,False,eu_500
8912752925,130,1416480229,2,0,35.0,False,eu_500
8912752925,131,324626824,155,0,32.0,False,eu_500
8912752925,132,265169496,84,0,25.0,False,eu_500
8912753087,0,1442846312,128,0,13.0,False,eu_500
8912753087,1,1509422663,137,0,43.0,False,eu_500
8912753087,2,1850178248,83,0,25.0,False,eu_500
8912753087,3,1798460326,41,0,34.0,False,eu_500
8912753087,4,816738055,104,0,41.0,False,eu_500
8912753087,128,118986316,9,0,21.0,False,eu_500
8912753087,129,361751592,28,0,34.0,False,eu_500
8912753087,130,129599776,84,0,,False,eu_500
8912753087,131,404637298,81,0,42.0,False,eu_500
8912753087,132,302217863,63,0,44.0,False,eu_500
